FolioURN,Sequence,RV,Label,DefaultImageURN
urn:cite:bla:bbb318.36r,71,recto,"Bern, Burgerbibliothek, Cod. 318, 36r",urn:cite:ecodices:bbb318img.bbb318_036r
urn:cite:bla:bbb318.36v,72,verso,"Bern, Burgerbibliothek, Cod. 318, 36v",urn:cite:ecodices:bbb318img.bbb318_036v
urn:cite:bla:bbb318.37r,73,recto,"Bern, Burgerbibliothek, Cod. 318, 37r",urn:cite:ecodices:bbb318img.bbb318_037r
urn:cite:bla:bbb318.37v,74,verso,"Bern, Burgerbibliothek, Cod. 318, 37v",urn:cite:ecodices:bbb318img.bbb318_037v
urn:cite:bla:bbb318.38r,75,recto,"Bern, Burgerbibliothek, Cod. 318, 38r",urn:cite:ecodices:bbb318img.bbb318_038r
urn:cite:bla:bbb318.38v,76,verso,"Bern, Burgerbibliothek, Cod. 318, 38v",urn:cite:ecodices:bbb318img.bbb318_038v
urn:cite:bla:bbb318.39r,77,recto,"Bern, Burgerbibliothek, Cod. 318, 39r",urn:cite:ecodices:bbb318img.bbb318_039r
urn:cite:bla:bbb318.39v,78,verso,"Bern, Burgerbibliothek, Cod. 318, 39v",urn:cite:ecodices:bbb318img.bbb318_039v
urn:cite:bla:bbb318.40r,79,recto,"Bern, Burgerbibliothek, Cod. 318, 40r",urn:cite:ecodices:bbb318img.bbb318_040r
urn:cite:bla:bbb318.40v,80,verso,"Bern, Burgerbibliothek, Cod. 318, 40v",urn:cite:ecodices:bbb318img.bbb318_040v
urn:cite:bla:bbb318.41r,81,recto,"Bern, Burgerbibliothek, Cod. 318, 41r",urn:cite:ecodices:bbb318img.bbb318_041r
urn:cite:bla:bbb318.41v,82,verso,"Bern, Burgerbibliothek, Cod. 318, 41v",urn:cite:ecodices:bbb318img.bbb318_041v
urn:cite:bla:bbb318.42r,83,recto,"Bern, Burgerbibliothek, Cod. 318, 42r",urn:cite:ecodices:bbb318img.bbb318_042r
urn:cite:bla:bbb318.42v,84,verso,"Bern, Burgerbibliothek, Cod. 318, 42v",urn:cite:ecodices:bbb318img.bbb318_042v
urn:cite:bla:bbb318.43r,85,recto,"Bern, Burgerbibliothek, Cod. 318, 43r",urn:cite:ecodices:bbb318img.bbb318_043r
urn:cite:bla:bbb318.43v,86,verso,"Bern, Burgerbibliothek, Cod. 318, 43v",urn:cite:ecodices:bbb318img.bbb318_043v
urn:cite:bla:bbb318.44r,87,recto,"Bern, Burgerbibliothek, Cod. 318, 44r",urn:cite:ecodices:bbb318img.bbb318_044r
urn:cite:bla:bbb318.44v,88,verso,"Bern, Burgerbibliothek, Cod. 318, 44v",urn:cite:ecodices:bbb318img.bbb318_044v
urn:cite:bla:bbb318.45r,89,recto,"Bern, Burgerbibliothek, Cod. 318, 45r",urn:cite:ecodices:bbb318img.bbb318_045r
urn:cite:bla:bbb318.45v,90,verso,"Bern, Burgerbibliothek, Cod. 318, 45v",urn:cite:ecodices:bbb318img.bbb318_045v
urn:cite:bla:bbb318.46r,91,recto,"Bern, Burgerbibliothek, Cod. 318, 46r",urn:cite:ecodices:bbb318img.bbb318_046r
urn:cite:bla:bbb318.46v,92,verso,"Bern, Burgerbibliothek, Cod. 318, 46v",urn:cite:ecodices:bbb318img.bbb318_046v
urn:cite:bla:bbb318.47r,93,recto,"Bern, Burgerbibliothek, Cod. 318, 47r",urn:cite:ecodices:bbb318img.bbb318_047r
urn:cite:bla:bbb318.47v,94,verso,"Bern, Burgerbibliothek, Cod. 318, 47v",urn:cite:ecodices:bbb318img.bbb318_047v
urn:cite:bla:bbb318.48r,95,recto,"Bern, Burgerbibliothek, Cod. 318, 48r",urn:cite:ecodices:bbb318img.bbb318_048r
urn:cite:bla:bbb318.48v,96,verso,"Bern, Burgerbibliothek, Cod. 318, 48v",urn:cite:ecodices:bbb318img.bbb318_048v
urn:cite:bla:bbb318.49r,97,recto,"Bern, Burgerbibliothek, Cod. 318, 49r",urn:cite:ecodices:bbb318img.bbb318_049r
urn:cite:bla:bbb318.49v,98,verso,"Bern, Burgerbibliothek, Cod. 318, 49v",urn:cite:ecodices:bbb318img.bbb318_049v
urn:cite:bla:bbb318.50r,99,recto,"Bern, Burgerbibliothek, Cod. 318, 50r",urn:cite:ecodices:bbb318img.bbb318_050r
urn:cite:bla:bbb318.50v,100,verso,"Bern, Burgerbibliothek, Cod. 318, 50v",urn:cite:ecodices:bbb318img.bbb318_050v
urn:cite:bla:bbb318.51r,101,recto,"Bern, Burgerbibliothek, Cod. 318, 51r",urn:cite:ecodices:bbb318img.bbb318_051r
urn:cite:bla:bbb318.51v,102,verso,"Bern, Burgerbibliothek, Cod. 318, 51v",urn:cite:ecodices:bbb318img.bbb318_051v
urn:cite:bla:bbb318.52r,103,recto,"Bern, Burgerbibliothek, Cod. 318, 52r",urn:cite:ecodices:bbb318img.bbb318_052r
urn:cite:bla:bbb318.52v,104,verso,"Bern, Burgerbibliothek, Cod. 318, 52v",urn:cite:ecodices:bbb318img.bbb318_052v
urn:cite:bla:bbb318.53r,105,recto,"Bern, Burgerbibliothek, Cod. 318, 53r",urn:cite:ecodices:bbb318img.bbb318_053r
urn:cite:bla:bbb318.53v,106,verso,"Bern, Burgerbibliothek, Cod. 318, 53v",urn:cite:ecodices:bbb318img.bbb318_053v
urn:cite:bla:bbb318.54r,107,recto,"Bern, Burgerbibliothek, Cod. 318, 54r",urn:cite:ecodices:bbb318img.bbb318_054r
urn:cite:bla:bbb318.54v,108,verso,"Bern, Burgerbibliothek, Cod. 318, 54v",urn:cite:ecodices:bbb318img.bbb318_054v
urn:cite:bla:bbb318.55r,109,recto,"Bern, Burgerbibliothek, Cod. 318, 55r",urn:cite:ecodices:bbb318img.bbb318_055r
urn:cite:bla:bbb318.55v,110,verso,"Bern, Burgerbibliothek, Cod. 318, 55v",urn:cite:ecodices:bbb318img.bbb318_055v
urn:cite:bla:bbb318.56r,111,recto,"Bern, Burgerbibliothek, Cod. 318, 56r",urn:cite:ecodices:bbb318img.bbb318_056r
urn:cite:bla:bbb318.56v,112,verso,"Bern, Burgerbibliothek, Cod. 318, 56v",urn:cite:ecodices:bbb318img.bbb318_056v
urn:cite:bla:bbb318.57r,113,recto,"Bern, Burgerbibliothek, Cod. 318, 57r",urn:cite:ecodices:bbb318img.bbb318_057r
urn:cite:bla:bbb318.57v,114,verso,"Bern, Burgerbibliothek, Cod. 318, 57v",urn:cite:ecodices:bbb318img.bbb318_057v
urn:cite:bla:bbb318.58r,115,recto,"Bern, Burgerbibliothek, Cod. 318, 58r",urn:cite:ecodices:bbb318img.bbb318_058r
