FolioURN,ImageURN
urn:cite:bla:bbb318.50v,urn:cite:ecodices:bbb318img.bbb318_050v
urn:cite:bla:bbb318.51r,urn:cite:ecodices:bbb318img.bbb318_051r
urn:cite:bla:bbb318.51v,urn:cite:ecodices:bbb318img.bbb318_051v
urn:cite:bla:bbb318.52r,urn:cite:ecodices:bbb318img.bbb318_052r
urn:cite:bla:bbb318.52v,urn:cite:ecodices:bbb318img.bbb318_052v
urn:cite:bla:bbb318.53r,urn:cite:ecodices:bbb318img.bbb318_053r
urn:cite:bla:bbb318.53v,urn:cite:ecodices:bbb318img.bbb318_053v
urn:cite:bla:bbb318.54r,urn:cite:ecodices:bbb318img.bbb318_054r
urn:cite:bla:bbb318.54v,urn:cite:ecodices:bbb318img.bbb318_054v
urn:cite:bla:bbb318.55r,urn:cite:ecodices:bbb318img.bbb318_055r
urn:cite:bla:bbb318.55v,urn:cite:ecodices:bbb318img.bbb318_055v
urn:cite:bla:bbb318.56r,urn:cite:ecodices:bbb318img.bbb318_056r
urn:cite:bla:bbb318.56v,urn:cite:ecodices:bbb318img.bbb318_056v
urn:cite:bla:bbb318.57r,urn:cite:ecodices:bbb318img.bbb318_057r
urn:cite:bla:bbb318.57v,urn:cite:ecodices:bbb318img.bbb318_057v
urn:cite:bla:bbb318.58r,urn:cite:ecodices:bbb318img.bbb318_058r
urn:cite:bla:bbb318.58v,urn:cite:ecodices:bbb318img.bbb318_058v
urn:cite:bla:bbb318.59r,urn:cite:ecodices:bbb318img.bbb318_059r
urn:cite:bla:bbb318.59v,urn:cite:ecodices:bbb318img.bbb318_059v
urn:cite:bla:bbb318.60r,urn:cite:ecodices:bbb318img.bbb318_060r
urn:cite:bla:bbb318.60v,urn:cite:ecodices:bbb318img.bbb318_060v
urn:cite:bla:bbb318.61r,urn:cite:ecodices:bbb318img.bbb318_061r
urn:cite:bla:bbb318.61v,urn:cite:ecodices:bbb318img.bbb318_061v
urn:cite:bla:bbb318.62r,urn:cite:ecodices:bbb318img.bbb318_062r
urn:cite:bla:bbb318.62v,urn:cite:ecodices:bbb318img.bbb318_062v
